,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
215,1,"[5086, 3995, 2531]",2,2,8,100,[ 6. 25. 16.  1. 37. 23.],[33  9  8  8  2  1]
216,1,"[5237, 3274, 8605]",0,2,19,100,[ 6.  1. 35. 26. 30.],[27 19 18  9  1]
217,1,"[5237, 3274, 8605]",1,2,8,100,[15.  6. 16.  1. 38. 37.],[33 28 11  8  1  1]
218,1,"[5237, 3274, 8605]",2,2,5,100,[ 6. 32. 24.  1. 36. 25.],[17 15  6  5  2  2]
219,1,"[6302, 1142, 552]",0,2,4,100,[ 6. 24. 33.  1.],[37  8  5  4]
220,1,"[6302, 1142, 552]",1,2,3,100,[ 6. 33. 35.  1.],[38  7  4  3]
221,1,"[6302, 1142, 552]",2,2,5,100,[ 6.  1. 30. 37. 39. 17.],[26  5  3  2  1  1]
222,1,"[2852, 8753, 9104]",0,2,20,100,[ 1.  6. 35. 37.],[20 15  2  1]
223,1,"[2852, 8753, 9104]",1,2,0,100,[ 6. 32. 39. 29.],[20  4  2  2]
224,1,"[2852, 8753, 9104]",2,2,7,100,[ 6.  1. 26. 31.],[32  7  5  2]
225,1,"[8938, 9609, 4246]",0,2,10,100,[33.  6.  1. 37.],[45 29 10  1]
226,1,"[8938, 9609, 4246]",1,2,9,100,[6. 1.],[40  9]
227,1,"[8938, 9609, 4246]",2,2,15,100,[ 6.  1. 26. 14. 20. 15. 38.],[25 15  7  7  6  5  1]
228,1,"[5151, 8239, 181]",0,2,12,100,[13.  6.  1. 35. 36.],[48 19 12  6  5]
229,1,"[5151, 8239, 181]",1,2,8,100,[ 6.  1. 30. 29. 37.],[12  8  4  3  2]
230,1,"[5151, 8239, 181]",2,2,4,100,[ 6.  1. 39.],[37  4  1]
231,1,"[10022, 6604, 2430]",0,2,13,100,[ 6.  1. 36. 16. 35. 24. 25. 38.],[19 13  8  8  7  6  3  1]
232,1,"[10022, 6604, 2430]",1,2,5,100,[23.  6. 12.  1. 16. 36. 31.],[38 36 21  5  4  3  3]
233,1,"[10022, 6604, 2430]",2,2,10,100,[ 1. 26. 21. 35.  6. 16.],[10  9  7  4  4  3]
